,id,genre,track_name,artist_name,duration_ms,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,Mood
0,1xcxzCeF86LD3mFh36Ou4S,acoustic,Whataya Want from Me - Live at ENERGY Berlin 103.4,Adam Lambert,235800,0.48,0.298,0.325,0.0,0.11,0.244,-7.7,0.0286,84.962,Sad
1,2JFEZO2ZxzffY0wd9MYEu3,acoustic,A Thousand Miles,Various Artists,238240,0.512,0.375,0.712,0.0,0.142,0.352,-7.475,0.0322,94.888,Sad
2,5A1u2GMvgMOMECWuYRBNc1,acoustic,Be the Song,Foy Vance,393493,0.498,0.813,0.308,0.718,0.105,0.117,-17.203,0.0276,106.155,Sad
3,4VJgrWjrkodaGiq3xKz62z,acoustic,Sometimes (I Wish),City and Colour,360880,0.523,0.311,0.467,2.01e-05,0.34,0.135,-7.713,0.0281,129.953,Sad
4,2Uj2BjZXVv9WvYFEVl8TDi,acoustic,Silent Way,Milo Greene,203827,0.47,0.853,0.296,0.368,0.0957,0.0605,-14.123,0.0328,78.999,Sad
5,4E6cwWJWZw2zWf7VFbH7wf,acoustic,Love Song,Sara Bareilles,258827,0.583,0.0208,0.786,0.0,0.188,0.573,-3.142,0.0301,123.055,Happy
6,6Pw4WKCH1bfULx3vrxYMwe,acoustic,Moves Like Jagger,Tyler Ward,232246,0.829,0.161,0.659,0.0,0.0769,0.962,-6.958,0.0639,110.024,Happy
7,4wYIQRvu7JpP3h2v5o1IOe,acoustic,Chariot - Stripped Version,Gavin DeGraw,299307,0.48,0.633,0.374,0.0,0.0982,0.207,-9.807,0.0353,128.171,Sad
8,6hUScKZXCeLfAhFKnLUdhI,acoustic,Passion Play,William Fitzsimmons,355162,0.31,0.718,0.506,0.103,0.244,0.11,-11.982,0.0331,88.044,Sad
9,1s2I9Q7zAE78m7aVZOq3ug,acoustic,Bang Bang - My Baby Shot Me Down,Various Artists,160440,0.458,0.984,0.12,0.0993,0.111,0.372,-22.644,0.0512,125.035,Sad
10,3F7o4t1uwmrZwym5iNiGbV,afrobeat,Yangiluma Inkukhu (The Biting Chicken),Ladysmith Black Mambazo,185400,0.379,0.955,0.347,0.0,0.125,0.739,-10.569,0.0901,92.724,Sad
11,2gmpWgPvC5vap4D2YtHbEW,afrobeat,Tamiditin Tan Ufrawan,Tinariwen,183480,0.654,0.775,0.645,0.000188,0.105,0.563,-7.266,0.0398,76.644,Sad
12,4CfKdK5OyEMGN78BlMa2PP,afrobeat,Azonto,A'won Boyz,199653,0.784,0.0295,0.844,4.24e-06,0.129,0.851,-5.49,0.0488,124.994,Energetic
13,4TLGUA3N47qYyl4rdNkTFG,afrobeat,Mandjou,Salif Keita,762480,0.499,0.789,0.662,0.00119,0.0738,0.794,-4.282,0.0365,157.446,Sad
14,0bg6otrW5gxNnlCqrCrXyd,afrobeat,Dynamite,Taio Cruz,203867,0.754,0.00332,0.804,0.0,0.0329,0.818,-3.177,0.0853,119.968,Energetic
15,5exD9A6t90JzdULiJgbk7i,afrobeat,Mansa,Rail Band,392333,0.489,0.215,0.432,0.0169,0.231,0.477,-12.694,0.0705,91.754,Sad
16,0uZbMcQP8LWeFKXf1h3KQT,afrobeat,Wily Kataso - feat. Tunde & Kyp of TV On The Radio,Amadou & Mariam,264293,0.669,0.0975,0.77,3.98e-06,0.119,0.882,-5.928,0.0418,93.933,Happy
17,2jHdpoUfgb1fALKARNCm9D,afrobeat,Assouf,Tinariwen,238627,0.518,0.539,0.702,0.163,0.0881,0.522,-6.481,0.0662,81.144,Sad
18,1JFQZHroU4ZM2kiN2tdnRw,afrobeat,Kounandi,Rokia Traoré,323653,0.517,0.967,0.137,0.00832,0.0891,0.241,-14.902,0.0388,147.486,Sad
19,2tKqgQjnGgcPNTDViorQyU,afrobeat,Utrus Horas,Orchestra Baobab,523453,0.725,0.828,0.266,0.000531,0.303,0.617,-15.384,0.0403,86.727,Sad
20,4dOXc4Suk5eig0jiCqCN5Y,alt-rock,Love Remains The Same,Gavin Rossdale,249440,0.406,0.236,0.632,0.0,0.18,0.109,-5.115,0.0344,149.258,Sad
21,6uVnBJJKPLAw7qwnDernst,alt-rock,Walking With Thee,Clinic,156200,0.497,0.00016,0.6,0.0768,0.0892,0.412,-5.114,0.0369,121.85,Happy
22,2Cp1j2mF1DZ3XN4ubgaotI,alt-rock,Planetary Motion,Stephen Malkmus & The Jicks,184360,0.579,0.436,0.349,0.0178,0.134,0.514,-10.153,0.0268,97.972,Sad
23,1Fx2xsBMTwd8aHETKE2mOn,alt-rock,If the River Was Whiskey,Spin Doctors,197267,0.425,0.217,0.862,0.000856,0.208,0.962,-5.901,0.12,197.515,Energetic
24,1Wqhdu7qwp3BNsQMremovv,alt-rock,Devil,Ours,264122,0.417,0.331,0.567,1.08e-06,0.36,0.213,-6.82,0.03,138.923,Sad
25,2Cla3UoHpM6u92PeGzBytm,alt-rock,Popular Mechanics For Lovers,Beulah,184107,0.565,0.355,0.69,0.00145,0.198,0.767,-6.035,0.0279,137.792,Happy
26,0nMHncX7iAq0Cwk11tnzCI,alt-rock,Raft Song,Eleventh Dream Day,375941,0.318,0.00532,0.676,0.667,0.107,0.638,-10.54,0.0304,123.259,Sad
27,351zlSrEZvnCB9Nbxi0dz0,alt-rock,Do It Nation,Half Japanese,257075,0.499,0.232,0.968,0.176,0.122,0.649,-3.544,0.0724,136.307,Energetic
28,6slHG4DP46wkmQsy0jNOWl,alt-rock,White Elephant,Volcano Suns,177773,0.366,0.000858,0.884,0.456,0.109,0.434,-7.929,0.0579,126.776,Energetic
29,4z4PB23xYTg1oANmyZovsw,alt-rock,Why Can't I?,Liz Phair,208360,0.487,0.0273,0.759,0.0,0.165,0.227,-4.849,0.0405,80.958,Happy
30,1p5fFes80K9IPnZFqNca53,alternative,Cousins,Vampire Weekend,145267,0.499,0.00123,0.809,0.0,0.0707,0.808,-5.132,0.206,176.11,Energetic
31,0R8P9KfGJCDULmlEoBagcO,alternative,Trouble,Coldplay,273427,0.565,0.189,0.546,0.0015,0.17,0.195,-7.496,0.0314,139.757,Sad
32,29VAdfNvhEtjl2Fe520W6c,alternative,Ghost,Yellow Ostrich,219724,0.322,0.219,0.289,1.84e-05,0.32,0.221,-12.191,0.222,175.266,Energetic
33,2aCsRmHTuWPL7WnL5uSijc,alternative,Miss You,Foster The People,212893,0.625,0.0214,0.994,0.0166,0.0954,0.113,-3.951,0.184,120.994,Energetic
34,53Pgsvu3qSYO2aXt5J2vcL,alternative,Lego House,Ed Sheeran,185093,0.592,0.562,0.637,0.0,0.13,0.565,-8.48,0.0992,159.701,Happy
35,40pPI2TbaYSZlKfV44HRjn,alternative,Supremacy,Muse,295373,0.256,0.00451,0.679,0.0409,0.172,0.325,-4.495,0.0387,158.718,Happy
36,601KiLiZtBJRTXBrTjeieP,alternative,Ode to Viceroy,Mac DeMarco,233818,0.514,0.208,0.632,0.0132,0.115,0.31,-6.305,0.0501,94.569,Sad
37,0OYcEfskah1egYHjYRvbg1,alternative,Shadow of the Day,Linkin Park,290360,0.534,0.00479,0.393,0.0107,0.107,0.0641,-7.813,0.0292,110.007,Sad
38,4NwJWJ7rIZBnv8TwNRhGG2,alternative,Left Hand Free,alt-J,173631,0.697,0.462,0.877,0.00943,0.083,0.802,-4.465,0.0462,101.99,Happy
39,51UtgWS4z1eMPuLQOzPtNH,alternative,Amber,311,211080,0.659,0.119,0.727,0.00427,0.1,0.748,-8.638,0.0455,166.163,Happy
40,2UKkLqST2xWpK8n1b0Xr5Z,ambient,Return To Innocence,Enigma,255467,0.476,0.119,0.584,0.0,0.274,0.417,-12.357,0.038,88.026,Happy
41,6yYV3V3jqeWXinATQmngVc,ambient,Mimeo,Efterklang,82747,0.44,0.994,0.00171,0.922,0.0946,0.674,-31.144,0.0875,85.07,Calm
42,0GU7HXMGewpD83cGv6a5YH,ambient,14:31,Global Communication,871893,0.531,0.812,0.392,0.834,0.675,0.156,-17.274,0.034,115.026,Sad
43,3OgkfYg13Jj96E982moWje,ambient,Dungtitled (In a Major),Stars Of The Lid,354120,0.112,0.949,0.208,0.935,0.101,0.0285,-22.618,0.0552,74.31,Calm
44,0jVy0Y3QEtUKsrIHAZuR45,ambient,I Can Almost See You,Hammock,253147,0.0964,0.78,0.46,0.814,0.0909,0.04,-9.822,0.0352,87.912,Calm
45,7Cg3F9ZsZ2TYUnlza49NYh,ambient,Kong,Bonobo,237827,0.542,0.173,0.749,0.942,0.315,0.674,-8.333,0.0277,94.031,Happy
